"REGION","CODE","PROVINCE","MARKS","DISTRICT","LOCATION","BRANCH","DISTRICT_NAME","ID","DEPT","TEAM","GROUPS","LENGTH_CODE"
"MN","AGG-BPCCTH","Tỉnh Đồng Nai","","Chơn Thành","","","",1877,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",10
"MN","AGG-BPCBGM","Tỉnh Đồng Nai","","Bù Gia Mập","","","",1878,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",10
"MN","MBF_BPBL","Tỉnh Đồng Nai","","TX. Bình Long","","","",1879,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPDA","Tỉnh Đồng Nai","","Bù Đăng","","","",1881,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPDO","Tỉnh Đồng Nai","","Bù Đốp","","","",1882,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","PTHT","Tỉnh Lâm Đồng","","Hàm Tân","","","",1883,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTTB","Tỉnh Lâm Đồng","","Hàm Thuận Bắc","","","",1884,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTLG","Tỉnh Lâm Đồng","","Lagi","","","",1885,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTBB","Tỉnh Lâm Đồng","","Bắc Bình","","","",1886,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTTP","Tỉnh Lâm Đồng","","Tuy Phong","","","",1887,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTPT","Tỉnh Lâm Đồng","","Tp. Phan Thiết","","","",1888,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTTN","Tỉnh Lâm Đồng","","Hàm Thuận Nam","","","",1889,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","PTTL","Tỉnh Lâm Đồng","","Tánh Linh","","","",1890,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
"MN","MBF_PTTP","Tỉnh Lâm Đồng","","Tuy Phong","","","",1891,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTTN","Tỉnh Lâm Đồng","","Hàm Thuận Nam","","","",1892,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTTL","Tỉnh Lâm Đồng","","Tánh Linh","","","",1893,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTTB","Tỉnh Lâm Đồng","","Hàm Thuận Bắc","","","",1894,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTPT","Tỉnh Lâm Đồng","","Tp. Phan Thiết","","","",1895,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTPQ","Tỉnh Lâm Đồng","","Phú Quý","","","",1896,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTLG","Tỉnh Lâm Đồng","","Lagi","","","",1897,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTDL","Tỉnh Lâm Đồng","","Đức Linh","","","",1899,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","MBF_PTBB","Tỉnh Lâm Đồng","","Bắc Bình","","","",1900,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",8
"MN","PTPQ","Tỉnh Lâm Đồng","","Phú Quý","","","",1901,"ĐVT Đồng Nai","TVT Bình Thuận","ĐVT Đồng Nai",4
