"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-375/WBTS-168/WCEL-3","RDNST14N","","KTNH12","","KTNH12C","","","","","","","","375","168","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-168/WCEL-11","RDNST14N","","KTNH12","","KTNH12X","","","","","","","","375","168","11","",03-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-419/WCEL-4","RDNST14N","","KTNH14","","KTNH14D","","","","","","","","375","419","4","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-419/WCEL-13","RDNST14N","","KTNH14","","KTNH14Z","","","","","","","","375","419","13","",24-DEC-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-519/WCEL-12","RDNST14N","","KTNH15","","KTNH15Y","","","","","","","","375","519","12","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-94/WCEL-12","RDNST14N","","KTNH17","","KTNH17Y","","","","","","","","375","94","12","",20-FEB-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-916/WCEL-13","RDNST14N","","KTNH18","","KTNH18Z","","","","","","","","375","916","13","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-917/WCEL-12","RDNST14N","","KTNH19","","KTNH19Y","","","","","","","","375","917","12","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-920/WCEL-11","RDNST14N","","KTNH22","","KTNH22X","","","","","","","","375","920","11","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-44/WCEL-1","RDNST14N","","KTNH25","","KTNH25A","","","","","","","","375","44","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-924/WCEL-13","RDNST14N","","KTST07","","KTST07Z","","","","","","","","375","924","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-925/WCEL-13","RDNST14N","","KTST08","","KTST08Z","","","","","","","","375","925","13","",02-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-926/WCEL-11","RDNST14N","","KTST09","","KTST09X","","","","","","","","375","926","11","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-926/WCEL-13","RDNST14N","","KTST09","","KTST09Z","","","","","","","","375","926","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-928/WCEL-11","RDNST14N","","KTST17","","KTST17X","","","","","","","","375","928","11","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-928/WCEL-13","RDNST14N","","KTST17","","KTST17Z","","","","","","","","375","928","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-313/WCEL-2","RDNST14N","","KTDH02","","KTDH02B","","","","","","","","375","313","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-412/WCEL-12","RDNST14N","","KTDH04","","KTDH04Y","","","","","","","","375","412","12","",24-DEC-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-315/WCEL-2","RDNST14N","","KTDH05","","KTDH05B","","","","","","","","375","315","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-166/WCEL-2","RDNST14N","","KTDH06","","KTDH06B","","","","","","","","375","166","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-166/WCEL-3","RDNST14N","","KTDH06","","KTDH06C","","","","","","","","375","166","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-166/WCEL-6","RDNST14N","","KTDH06","","KTDH06F","","","","","","","","375","166","6","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-931/WCEL-13","RDNST14N","","KTST20","","KTST20Z","","","","","","","","375","931","13","",08-JAN-24 00:00:00,""
